No.,Bandpass,Measurement,Unc High,Unc Low,Unit,Frequency (Hz),Flux Density,FD Unc High,FD Unc Low,FD Upper Limit,FD Lower Limit,Flux,F Unc High,F Unc Low,F Upper Limit,F Lower Limit,Telescope,Instrument,Frequency,Freq. Unit,Aperature Type,Reference
11,0.5-7 keV Chandra,2.2236e-14,2.2088e-15,2.2088e-15,erg/cm^2/s,5.56137525679531e+17,3.99822865135324e-09,3.97162506453445e-10,3.97162506453445e-10,,,2223564989.2646,220876973.6317,220876973.6317,,,Chandra,"ACIS, HRC-I",2.3,keV,from fitting to map,2020CSC...C2..0000:
12,0.2-4 keV (EINSTEIN),9.42e-13,,,erg/cm^2/s,5.24599984e+17,1.79565388625708e-07,,,,,94200000000.0,,,,,Einstein,IPC,2.1,keV,flux integrated from map or image,1992ApJS...80..531F
13,1.2-2 keV Chandra,3.7772e-15,6.9466e-16,6.9466e-16,erg/cm^2/s,3.77206321765247e+17,1.00137211637703e-09,1.84160389218774e-10,1.84160389218774e-10,,,377723892.73686,69466463.03207,69466463.03207,,,Chandra,"ACIS, HRC-I",1.56,keV,from fitting to map,2020CSC...C2..0000:
14,1.2-2 keV Chandra,4.6203e-15,1.0396e-15,1.0396e-15,erg/cm^2/s,3.77206321765247e+17,1.22486507038117e-09,2.75594640835756e-10,2.75594640835756e-10,,,462026847.85721,103956040.76787,103956040.76787,,,Chandra,"ACIS, HRC-I",1.56,keV,from fitting to map,2020CSC...C2..0000:
15,1.2-2 keV Chandra,3.6678e-15,7.0704e-16,7.0704e-16,erg/cm^2/s,3.77206321765247e+17,9.7234963879389e-10,1.87440894225342e-10,1.87440894225342e-10,,,366776430.71921,70703890.25913,70703890.25913,,,Chandra,"ACIS, HRC-I",1.56,keV,flux in fixed aperture,2020CSC...C2..0000:
16,1.2-2 keV Chandra,4.6562e-15,9.8603e-16,9.8603e-16,erg/cm^2/s,3.77206321765247e+17,1.23440134181028e-09,2.61402637089245e-10,2.61402637089245e-10,,,465623989.72634,98602727.23617,98602727.23617,,,Chandra,"ACIS, HRC-I",1.56,keV,flux in fixed aperture,2020CSC...C2..0000:
17,0.1-2.4 keV (ROSAT),7.58e-13,1.6e-13,1.6e-13,erg/cm^2/s,3.25000003e+17,2.3323076707787e-07,4.92307687763314e-08,4.92307687763314e-08,,,75800000000.0,16000000000.0,16000000000.0,,,ROSAT,?,1.3,keV,flux integrated from map or image,1994A&A...281..355B
18,0.1-2 keV (Chandra),5.3e-14,,,erg/cm^2/s,2.54000002e+17,2.08661415679831e-08,,,,,5300000000.0,,,,,Chandra,ACIS-S,1.05,keV,flux integrated from map or image,2004ApJ...610..213T
19,0.5-1.2 keV Chandra,6.627e-15,9.455e-16,9.455e-16,erg/cm^2/s,2.22455010271813e+17,2.97900844319963e-09,4.25027833589822e-10,4.25027833589822e-10,,,662695353.83179,94549571.0870301,94549571.0870301,,,Chandra,"ACIS, HRC-I",0.92,keV,flux in fixed aperture,2020CSC...C2..0000:
20,0.5-1.2 keV Chandra,6.2147e-15,9.0952e-16,9.0952e-16,erg/cm^2/s,2.22455010271813e+17,2.79370606206682e-09,4.08857562154466e-10,4.08857562154466e-10,,,621473910.7335,90952413.18878,90952413.18878,,,Chandra,"ACIS, HRC-I",0.92,keV,from fitting to map,2020CSC...C2..0000:
